time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-13T22:18:22.050Z,19.3286,-64.0921,37,3.92,md,15,339,1.5684,0.26,pr,pr2022013003,2022-01-13T23:00:24.040Z,"132 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,3.01,17.96,0.06,5,reviewed,pr,pr
2022-01-13T22:17:35.310Z,19.4166666666667,-155.275333333333,9.72,1.55,md,18,134,,0.1,hv,hv72871332,2022-01-13T23:49:15.200Z,"5 km WSW of Volcano, Hawaii",earthquake,0.48,0.7,0.0835369013741871,5,reviewed,hv,hv
2022-01-13T22:09:26.110Z,38.8338318,-122.8065033,2.18,0.77,md,20,50,0.01079,0.01,nc,nc73678101,2022-01-13T22:21:10.845Z,"7km W of Cobb, CA",earthquake,0.21,0.44,0.4,3,automatic,nc,nc
2022-01-13T22:06:38.840Z,19.408,-155.273333333333,12.78,1.67,md,19,64,,0.11,hv,hv72871317,2022-01-13T23:20:49.710Z,"5 km SW of Volcano, Hawaii",earthquake,0.48,0.52,0.0643001294015801,5,reviewed,hv,hv
2022-01-13T21:58:56.190Z,19.4161666666667,-155.2765,10.77,1.67,md,19,90,,0.08,hv,hv72871307,2022-01-13T22:24:49.850Z,"5 km WSW of Volcano, Hawaii",earthquake,0.48,0.64,0.12161209508864,5,reviewed,hv,hv
2022-01-13T21:57:41.300Z,37.8321648,-121.767334,18.97,2.11,md,28,164,0.09641,0.06,nc,nc73678096,2022-01-13T22:48:11.694Z,"11km SSW of Brentwood, CA",earthquake,0.27,0.48,0.2,23,automatic,nc,nc
2022-01-13T21:38:06.510Z,19.236499786377,-155.392166137695,32.439998626709,2.00999999,md,45,142,,0.129999995,hv,hv72871292,2022-01-13T21:41:18.740Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.52,0.74000001,1.13999999,22,automatic,hv,hv
2022-01-13T21:37:37.830Z,39.4248333,-110.3131667,-1.54,1.88,md,10,194,0.009272,0.12,uu,uu60477597,2022-01-13T22:36:22.090Z,"15 km SSE of Sunnyside, Utah",earthquake,0.76,0.37,0.096,7,reviewed,uu,uu
2022-01-13T21:13:19.670Z,33.5936667,-116.8101667,7.28,0.78,ml,30,74,0.03845,0.11,ci,ci39911751,2022-01-13T23:44:09.907Z,"13km WNW of Anza, CA",earthquake,0.17,0.38,0.181,19,reviewed,ci,ci
2022-01-13T21:04:45.861Z,3.7153,126.8703,57.06,4.4,mb,,106,2.965,0.66,us,us7000gbra,2022-01-13T21:25:18.040Z,"243 km SE of Sarangani, Philippines",earthquake,8.4,8.5,0.112,23,reviewed,us,us
2022-01-13T20:59:45.680Z,19.4051666666667,-155.275,10.7,1.43,md,24,73,,0.12,hv,hv72871242,2022-01-13T21:16:52.300Z,"5 km SW of Volcano, Hawaii",earthquake,0.47,0.59,0.138585462201682,10,reviewed,hv,hv
2022-01-13T20:55:24.720Z,33.4823333,-116.4281667,12.53,1.14,ml,41,79,0.04101,0.18,ci,ci39911735,2022-01-13T21:13:17.760Z,"23km SSW of La Quinta, CA",earthquake,0.27,0.55,0.147,27,reviewed,ci,ci
2022-01-13T20:53:42.270Z,39.4271667,-110.3165,-1.43,1.94,md,9,193,0.007331,0.04,uu,uu60477567,2022-01-13T21:33:14.710Z,"15 km SSE of Sunnyside, Utah",earthquake,0.64,0.19,0.199,7,reviewed,uu,uu
